id;name;type;amount;file_date;description;hash;file_size;path;raw_file;raw_file_content_type;uploaded_date
1;tapioca palate;DOCUMENT;7451.41;2024-11-30;actually instead angrily;beneath neatly;22080;instead;../fake-data/blob/hipster.png;image/png;2024-11-30T22:18:46
2;cleverly;DOCUMENT;26629.93;2024-11-30;advocate bah drat;meanwhile of;11961;cook beneath;../fake-data/blob/hipster.png;image/png;2024-11-30T20:23:27
3;knight devoted outside;INVOICE;27472.78;2024-11-30;acquaintance cruelly;troubled athwart;13725;majority replicate pfft;../fake-data/blob/hipster.png;image/png;2024-11-30T17:53:39
4;towards;INVOICE;16332.42;2024-11-30;augment defenseless;versus;15621;an;../fake-data/blob/hipster.png;image/png;2024-11-30T17:33:15
5;yearly until;INVOICE;3002.8;2024-11-30;reference for;status through foretell;10155;especially not incline;../fake-data/blob/hipster.png;image/png;2024-12-01T03:18:35
6;unhappy stage lazily;INVOICE;23717.23;2024-11-30;forenenst around towards;once blah morbidity;6533;acknowledge navigate forsaken;../fake-data/blob/hipster.png;image/png;2024-11-30T04:50:03
7;necklace pace;DOCUMENT;16329.29;2024-11-30;than;vice;5955;whereas buck gadzooks;../fake-data/blob/hipster.png;image/png;2024-11-30T16:04:01
8;accidentally colour when;DOCUMENT;23019.83;2024-11-30;mid flat;yet;24333;upliftingly convection;../fake-data/blob/hipster.png;image/png;2024-11-30T19:54:02
9;yum pfft;DOCUMENT;19968.9;2024-11-30;lightly;lest neglected monthly;28185;partial guilty who;../fake-data/blob/hipster.png;image/png;2024-11-30T15:31:07
10;elastic less unsteady;INVOICE;16792.08;2024-11-30;officially recount;materialise whenever gripping;21061;veto boohoo;../fake-data/blob/hipster.png;image/png;2024-11-30T10:35:58
