id;name;contact_email;contact_phone;address
1;evenly enthusiastically monocle;fake confirm;represent brr always;elegantly
2;alongside through;representation because;psst;yet brr riser
3;daily;confute huzzah haircut;gosh;where even
4;exalt which;finally ew sorrowful;pro fleck;alive
5;gladly correctly;frenetically masquerade pish;geez phooey afore;clearly
6;towards unimpressively yuck;respectful;duh angrily like;blah gently
7;technician;french insecure;phooey;formamide skeleton perfectly
8;hm steak tuba;past;psst populist;moralise
9;er;courageously;blindly metallic;without
10;whereas;curry into deliquesce;who;lounge schlep anenst
